Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor4,Access a Healthy and Fit Force,Accession of a Healthy and Fit Force,Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,"Collect medical, biological history",Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,EHRs tracking starts here To evaluate physical and mental injury and treatment records,Out of Box,0,,,
Vendor4,Access a Healthy and Fit Force,Remedial programs to raise condition of potential accessions to meet military standards,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Document care provided,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Dental),Recover Patient,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Document care provided,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Ambulatory Diagnostic Services (Medical),Recover Patient,Out of Box,0,,,
Vendor4,Amputee Care,Coordinate all medical and therapeutic services,Out of Box,0,,,
Vendor4,Amputee Care,"Establish a registry for limb loss, limb at risk and limb salvage patients",Out of Box,0,,,
Vendor4,Amputee Care,"Identify those with limb loss, at risk of limb loss, or who have had limb salvage",Out of Box,0,,,
Vendor4,Amputee Care,"Incorporate advanced capabilities as they become available, including identification of candidates for limb transplantation",Out of Box,0,,,
Vendor4,Amputee Care,Provide holistic rehabilitation treatment,Out of Box,0,,,
Vendor4,Medical Logistics: Blood Operational Tasks ,Manage the Class VIII-B Materiel Throughout End to- End Supply Chain,Does Not Support,0,,,
Vendor4,Burn Care,Coordinate all medical and therapeutic services,Out of Box,0,,,
Vendor4,Burn Care,"Establish a registry for those beneficiaries with skin, deep tissue or respiratory burns",Out of Box,0,,,
Vendor4,Burn Care,Incorporate advanced capabilities as they become available,Out of Box,0,,,
Vendor4,Burn Care,Provide burn care,Out of Box,0,,,
Vendor4,Burn Care,Provide holistic rehabilitation treatment,Out of Box,0,,,
Vendor4,Case Management,Assessment of clients,Out of Box,0,,,
Vendor4,Case Management,Assist with Transition of Care,Out of Box,0,,,
Vendor4,Case Management,Care Coordination,Out of Box,0,,,
Vendor4,Case Management,Development and Implementation of Plan of Care,Out of Box,0,,,
Vendor4,Case Management,Evaluate and Monitor Outcomes,Out of Box,0,,,
Vendor4,Case Management,Identification of potential clients,Out of Box,0,,,
Vendor4,Case Management,Maintain a licensed professional staff,Does Not Support,0,,,
Vendor4,Community Health Education,Assess the community health education requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Community Health Education,Deliver effective community health education programs,Out of Box,0,,,
Vendor4,Community Health Education,"Develop evidence-based, cost-effective community health education programs",Out of Box,0,,,
Vendor4,Community Health Education,Evaluate the effectiveness of community health education programs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Determine personal and professional development needs of the medical force,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Medical Professional and Leadership Development Training,Does Not Support,0,,,
Vendor4,Joint and Service Medical Education and Training: Continuing Health Education Operational Tasks ,Provide Military Professionals with Continuing Health Education to maintain competency,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Determine education and training requirements - needs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Evaluate Training Programs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Provide high-quality basic and specialty military medical training,Does Not Support,0,,,
Vendor4,Dental Care,Diagnosis,Out of Box,0,,,
Vendor4,Dental Care,Document detainee dental care,Out of Box,0,,,
Vendor4,Dental Care,Emergency dental care,Out of Box,0,,,
Vendor4,Dental Care,Restore to health,Out of Box,0,,,
Vendor4,Dental Care,Routine dental care,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,Document healthcare,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,First responder,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,Resuscitative care,Out of Box,0,,,
Vendor4,Detainee Healthcare,Diagnosis,Out of Box,0,,,
Vendor4,Detainee Healthcare,Document detainee healthcare,Out of Box,0,,,
Vendor4,Detainee Healthcare,Liaison with security,Out of Box,0,,,
Vendor4,Detainee Healthcare,Report suspected detainee abuse,Out of Box,0,,,
Vendor4,Detainee Healthcare,Restore to health,Out of Box,0,,,
Vendor4,Detainee Healthcare,Routine detainee healthcare,Out of Box,0,,,
Vendor4,Detainee Healthcare,Rule on legal issues,Does Not Support,0,,,
Vendor4,Disability Counseling and Coaching,Case closure,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Coordinate,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Counsel,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Document- Manage Medical and Non-medical Information,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Educate PEBLOs- Counselors,Does Not Support,0,,,
Vendor4,Disability Counseling and Coaching,Identify severely ill or injured service members,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Measure Outcomes,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Research and Knowledge transfer capability,Out of Box,0,,,
Vendor4,Disease Management (DM),Adoption and Implementation of Evidence-Based Clinical Practice Guidelines,Out of Box,0,,,
Vendor4,Disease Management (DM),Feedback and Reporting to Stakeholders,Out of Box,0,,,
Vendor4,Disease Management (DM),Population Identification,Out of Box,0,,,
Vendor4,Disease Management (DM),"Process and Outcome Measurement, Evaluation and Management",Out of Box,0,,,
Vendor4,Disease Management (DM),Provide Patient Self-Management,Out of Box,0,,,
Vendor4,Disease Management (DM),Utilization of Collaborative Practice Models,Out of Box,0,,,
Vendor4,Emergency Medical Services,Access and Dispatch,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Complete and Archive EMS incident reports,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Disposition,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Medical Direction,Out of Box,0,,,
Vendor4,Emergency Medical Services,Provide Acute and Routine care,Out of Box,0,,,
Vendor4,Emergency Medical Services,Provide Incident Site Care,Out of Box,0,,,
Vendor4,Emergency Medical Services,Receive and treat casualties,Out of Box,0,,,
Vendor4,Emergency Medical Services,Surge and Expand Hospital Capacity,Out of Box,0,,,
Vendor4,Emergency Medical Services,Triage and Treatment,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Detailed post-deployment surveys and follow-up surveys and assessments,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Ensure physical and mental health of returned Warfighters,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Establish routine programs to support post-deployment adjustments for all redeployed forces,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Restore-enhance health and fitness of casualties,Out of Box,0,,,
Vendor4,Health Counseling,Define the preventive health counseling requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Health Counseling,Educate targeted populations and the healthcare givers who serve these populations on the need for preventive health counseling (this may overlap with community health education),Out of Box,0,,,
Vendor4,Health Counseling,Promote preventive health counseling research,Out of Box,0,,,
Vendor4,Health Counseling,"Provide evidence- based, cost-effective Class A & B preventive health counseling services",Out of Box,0,,,
Vendor4,Health Counseling,"Track, report, and archive currency of-compliance with recommended preventive health counseling services at the individual and population levels.",Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Efficiency,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Operational Availability,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Stewardship,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,System Testing,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Transparency and Decision Support,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Conduct and Implement Business Process Reengineering (BPR) Review prior to prior to fielding IT solutions,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Configuration and Release Management,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Develop Complete Enterprise Architectural Requirements Design Sets for IT procurement,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Establish IM-IT Strategic Plan and Transition Plan,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Generate and Maintain IT requirements,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Security Management,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Delivery,Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Support,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide IM-IT Cost Estimation,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide Information Technology Asset Visibility,Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Service Transition (Project fielding implementation),Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Track execution of the MHS IM-IT Strategy,Does Not Support,0,,,
Vendor4,Immunization,Conduct-promote immunization research,Out of Box,0,,,
Vendor4,Immunization,Define the immunization requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Immunization,Develop-maintain rapid vaccine development and production capabilities within the DoD,Does Not Support,0,,,
Vendor4,Immunization,Educate targeted populations and the healthcare teams who serve them on the need for immunizations (this may overlap with community health education),Out of Box,0,,,
Vendor4,Immunization,Identify the health threats to specific DoD populations,Out of Box,0,,,
Vendor4,Immunization,Provide immunization services,Out of Box,0,,,
Vendor4,Immunization,"Securely track, report, and archive currency of-compliance with recommended immunization services and vaccine adverse events at the individual and population levels.",Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Document care provided,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Recover Patient,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Assess patient for appropriateness of admission,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Completely document patient care delivered and have information included in patient medical record,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Evaluate and implement as appropriate advanced technologies and evidenced based medicine,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Manage the clinical problems of hospitalized patients.,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Sufficient Patient Volume,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Support Research and Graduate Medical Education (GME),Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Surge and Expand Capacity awaiting additional staffing or patient transfer,Out of Box,0,,,
Vendor4,Intensive Care,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Out of Box,0,,,
Vendor4,Intensive Care,"Assess patient for appropriateness of ICU admission, transfer or general medical-surgical-pediatric ward admission",Out of Box,0,,,
Vendor4,Intensive Care,Completely document patient care delivered and have information included in patient medical record,Out of Box,0,,,
Vendor4,Intensive Care,Deliver the full spectrum of critical care medicine (medical and surgical; across all age continuums in age appropriate manner),Out of Box,0,,,
Vendor4,Intensive Care,Evaluate and implement as appropriate advanced Technologies to best preserve life and limb.,Out of Box,0,,,
Vendor4,Intensive Care,Sufficient Patient Volume,Out of Box,0,,,
Vendor4,Intensive Care,Support Research and Graduate Medical Education (GME),Out of Box,0,,,
Vendor4,Intensive Care,Surge and Expand ICU Capacity awaiting additional staffing or patient transfer,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Implement Advanced Technologies,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Environment Testing,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Human Specimen Source,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Veterinary Specimen Sources,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Support Research,Out of Box,0,,,
Vendor4,Manage Patient Movement Items,Interface within the patient movement request (PMR),Out of Box with Configuration,0,,,
Vendor4,Manage Patient Movement Items,"Procure, sustain and maintain PMI",Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Equipment & Technology Operational Tasks ,Provide the total life cycle management of medical equipment,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Coordinate the distribution of medical materiel in the JOA,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Health services contract management,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage biomedical maintenance,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage medical facilities,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage optical fabrication and repair,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage the Class VIII-A materiel,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage the Class VIII-B materiel throughout end-to-end supply chain,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Management of medical waste,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Measure and assess performance of medical logistics,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Provision and management of standardized medical equipment,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Provision of hazardous material including medical gasses,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Take action to address performance deficiencies,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Technology,Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Maintenance Operational Tasks ,Manage Biomedical Maintenance,Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Materiel Operational Tasks ,Coordinate the distribution of Medical Materiel in the JOA,Does Not Support,0,,,
